"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure","Quote","Price Limit","Price Control","Line number"
"01_062_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Weekday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","754.56","Y",58
"01_063_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Saturday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","905.76","Y",59
"01_064_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Sunday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","1090.56","Y",60
"01_065_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Public Holiday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","1275.36","Y",61
"04_128_0136_6_1","Group Based Activities In The Community - Ratio 1:2 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","69.75","Y",143
"04_129_0136_6_1","Group Based Activities In The Community - Ratio 1:3 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","51.48","Y",144
"04_130_0104_6_1","Group Based Activities In The Community - Ratio 1:2 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","75.88","Y",145
"04_131_0104_6_1","Group Based Activities In The Community - Ratio 1:3 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","56.01","Y",146
"04_136_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","19.92","Y",147
"04_137_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","21.8","Y",148
"04_138_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","27.4","Y",149
"04_139_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","34.87","Y",150
